Rank,Player,Position,Age,Team,Played,GS,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,PF,PTS
1,Precious Achiuwa,Center,24,TOR,16,0,18.1,3.3,7,0.6,1.9,2.6,5.1,0.9,1.6,2.3,3.9,6.2,1.9,0.6,0.4,1.8,8
2,Bam Adebayo,Center,26,MIA,16,16,33.6,8.3,15.8,0.1,0.2,8.2,15.6,5.7,7,2.1,7.9,9.9,3.9,1.2,1,2.4,22.3
3,Ochai Agbaji,Shooting Guard,23,UTA,22,9,20.4,2.4,5.2,1.3,3.2,1.1,2,0.3,0.4,0.8,1.7,2.5,1,0.6,0.5,1.5,6.4
4,Santi Aldama,Power Forward,23,MEM,15,4,26.9,5.1,11.7,1.7,5.3,3.5,6.4,1.2,1.9,1.7,4.6,6.3,2.3,0.7,0.7,1.7,13.1
5,Nickeil Alexander-Walker,Shooting Guard,25,MIN,21,10,23.9,2.6,6.4,1.5,4.2,1.1,2.1,0.3,0.6,0.5,1.7,2.1,2.5,0.9,0.7,1.9,7
6,Grayson Allen,Shooting Guard,28,PHO,19,19,33.1,4.1,8.5,2.3,4.9,1.8,3.6,1.8,2,0.7,3.8,4.5,2.9,0.7,0.4,2.3,12.3
7,Jarrett Allen,Center,25,CLE,17,17,28.5,5.3,7.9,0,0,5.3,7.9,2.4,3.4,3.1,5.2,8.3,2.2,0.6,1,2.8,13
8,Jose Alvarado,Point Guard,25,NOP,9,0,16.8,2.8,6.4,1.4,3.3,1.3,3.1,0.3,0.9,0.4,1.7,2.1,2.2,1.2,0.3,1.2,7.3
9,Kyle Anderson,Power Forward,30,MIN,21,0,24,2.7,5.9,0.1,0.9,2.6,5,1.7,2.5,0.8,3,3.8,4,0.8,0.9,1.4,7.2
10,Giannis Antetokounmpo,Power Forward,29,MIL,21,21,34.6,11.8,19.1,0.4,1.8,11.3,17.4,6.6,10,2.7,7.9,10.6,5,1.4,1.3,3.1,30.5
11,Thanasis Antetokounmpo,Power Forward,31,MIL,8,0,5.9,0.5,1.1,0,0,0.5,1.1,0,0,0.4,0.3,0.6,0.5,0.3,0.1,0.9,1
12,Cole Anthony,Point Guard,23,ORL,22,0,26,5.1,11.3,1.4,3.9,3.7,7.4,3.8,4.5,1.1,3.5,4.6,3.6,0.7,0.5,3,15.4
