Rk;Player;Pos;Age;Tm;G;GS;MP;FG;FGA;FG%;3P;3PA;3P%;2P;2PA;2P%;eFG%;FT;FTA;FT%;ORB;DRB;TRB;AST;STL;BLK;TOV;PF;PTS
1;Precious Achiuwa;C;24;TOR;16;0;18.1;3.3;7;0.464;0.6;1.9;0.333;2.6;5.1;0.512;0.509;0.9;1.6;0.56;2.3;3.9;6.2;1.9;0.6;0.4;1.4;1.8;8
2;Bam Adebayo;C;26;MIA;16;16;33.6;8.3;15.8;0.522;0.1;0.2;0.333;8.2;15.6;0.524;0.524;5.7;7;0.813;2.1;7.9;9.9;3.9;1.2;1;2.4;2.4;22.3
3;Ochai Agbaji;SG;23;UTA;22;9;20.4;2.4;5.2;0.465;1.3;3.2;0.408;1.1;2;0.558;0.592;0.3;0.4;0.75;0.8;1.7;2.5;1;0.6;0.5;0.7;1.5;6.4
4;Santi Aldama;PF;23;MEM;15;4;26.9;5.1;11.7;0.438;1.7;5.3;0.313;3.5;6.4;0.542;0.509;1.2;1.9;0.621;1.7;4.6;6.3;2.3;0.7;0.7;1.1;1.7;13.1
5;Nickeil Alexander-Walker;SG;25;MIN;21;10;23.9;2.6;6.4;0.41;1.5;4.2;0.348;1.1;2.1;0.533;0.526;0.3;0.6;0.538;0.5;1.7;2.1;2.5;0.9;0.7;1.1;1.9;7
6;Grayson Allen;SG;28;PHO;19;19;33.1;4.1;8.5;0.481;2.3;4.9;0.468;1.8;3.6;0.5;0.617;1.8;2;0.895;0.7;3.8;4.5;2.9;0.7;0.4;1.5;2.3;12.3
7;Jarrett Allen;C;25;CLE;17;17;28.5;5.3;7.9;0.672;0;0;0;5.3;7.9;0.672;0.672;2.4;3.4;0.719;3.1;5.2;8.3;2.2;0.6;1;1.8;2.8;13
8;Jose Alvarado;PG;25;NOP;9;0;16.8;2.8;6.4;0.431;1.4;3.3;0.433;1.3;3.1;0.429;0.543;0.3;0.9;0.375;0.4;1.7;2.1;2.2;1.2;0.3;1;1.2;7.3
9;Kyle Anderson;PF;30;MIN;21;0;24;2.7;5.9;0.463;0.1;0.9;0.111;2.6;5;0.524;0.472;1.7;2.5;0.692;0.8;3;3.8;4;0.8;0.9;1.6;1.4;7.2
10;Giannis Antetokounmpo;PF;29;MIL;21;21;34.6;11.8;19.1;0.614;0.4;1.8;0.243;11.3;17.4;0.652;0.626;6.6;10;0.657;2.7;7.9;10.6;5;1.4;1.3;4;3.1;30.5
11;Thanasis Antetokounmpo;PF;31;MIL;8;0;5.9;0.5;1.1;0.444;0;0;0;0.5;1.1;0.444;0.444;0;0;0;0.4;0.3;0.6;0.5;0.3;0.1;0.5;0.9;1
12;Cole Anthony;PG;23;ORL;22;0;26;5.1;11.3;0.452;1.4;3.9;0.365;3.7;7.4;0.497;0.514;3.8;4.5;0.848;1.1;3.5;4.6;3.6;0.7;0.5;2;3;15.4
13;OG Anunoby;SF;26;TOR;18;18;32.5;5.5;11.9;0.46;2.5;6.4;0.388;3;5.5;0.545;0.565;1.3;2;0.667;1;3.3;4.3;2.4;1.1;0.7;1.7;2.4;14.8
14;Ryan Arcidiacono;PG;29;NYK;6;0;2.2;0;0.2;0;0;0.2;0;0;0;0;0;0;0;0;0;0.5;0.5;0.2;0.2;0;0;0;0
15;Deni Avdija;SF;23;WAS;21;21;26.9;4.9;9.2;0.526;1;2.9;0.35;3.9;6.4;0.604;0.58;1.5;1.8;0.816;1.2;4.3;5.5;3.9;0.9;0.4;1.4;2.2;12.2
16;Deandre Ayton;C;25;POR;18;18;31.9;6;10.2;0.587;0;0;0;6;10.2;0.587;0.587;0.9;1.2;0.81;3.1;7.7;10.8;1.6;1.2;0.7;1.9;2.6;12.9
17;Udoka Azubuike;C;24;PHO;2;0;4.5;0.5;0.5;1;0;0;0;0.5;0.5;1;1;0;0;0;0;2;2;0;0;0;0;0.5;1
18;Marvin Bagley III;C;24;DET;20;7;18.3;3.9;6.7;0.575;0.1;0.3;0.2;3.8;6.5;0.589;0.578;2.1;2.4;0.854;1.9;3;4.8;1.2;0.1;0.6;1.3;1.5;9.8
19;Amari Bailey;PG;19;CHO;1;0;3;1;3;0.333;0;0;0;1;3;0.333;0.333;0;0;0;2;0;2;0;0;0;0;0;2
20;Patrick Baldwin Jr.;SF;21;WAS;4;0;3.8;0;1.3;0;0;0.3;0;0;1;0;0;0;0;0;0.5;0.8;1.3;0.3;0;0.3;0;0.3;0
21;LaMelo Ball;PG;22;CHO;15;15;33.4;8.8;19.9;0.443;3.5;8.9;0.388;5.3;10.9;0.488;0.53;3.6;4.2;0.857;1.5;3.9;5.5;8.2;1.4;0.3;3.9;3.5;24.7
22;Mo Bamba;C;25;PHI;10;0;6.2;1.3;2.5;0.52;0.3;0.7;0.429;1;1.8;0.556;0.58;0.6;0.8;0.75;1.3;1.1;2.4;0.1;0.1;0.7;0.7;0.8;3.5
23;Paolo Banchero;PF;21;ORL;22;22;33.5;7.5;15.3;0.494;1.3;3.1;0.406;6.3;12.1;0.517;0.536;4.4;6.4;0.686;1.3;5.4;6.7;4.5;1;0.6;3;2.4;20.7
24;Desmond Bane;SG;25;MEM;21;21;34.2;9;19.3;0.466;3.3;8.7;0.385;5.7;10.7;0.531;0.552;3.3;3.8;0.863;0.9;3.5;4.4;5.1;1.3;0.8;2.8;3.1;24.6
25;Dalano Banton;PG;24;BOS;11;1;8.3;1.2;2.5;0.481;0.1;0.6;0.143;1.1;1.8;0.6;0.5;0.5;0.5;0.833;0.9;1.4;2.3;0.5;0.2;0.2;0.5;1.1;2.9
26;Dominick Barlow;PF;20;SAS;7;0;5;0.4;1;0.429;0;0;0;0.4;1;0.429;0.429;0.3;0.6;0.5;0;0.7;0.7;0;0.1;0;0;0.3;1.1
27;Harrison Barnes;PF;31;SAC;20;20;31.6;4;8.5;0.465;1.8;4.7;0.372;2.2;3.8;0.579;0.568;2.1;2.5;0.82;1;2.6;3.5;1.5;0.8;0.2;0.8;1.1;11.7
28;Scottie Barnes;SG;22;TOR;22;22;34.8;7.4;15.8;0.468;2;5.2;0.383;5.4;10.6;0.511;0.532;3;4;0.747;2.7;6.5;9.2;5.6;1.7;1.3;2.5;2;19.8
29;RJ Barrett;SG;23;NYK;16;16;29.6;6.5;15.2;0.428;1.9;5.1;0.383;4.6;10.1;0.451;0.492;4.2;4.9;0.848;0.7;3.2;3.9;2.6;0.5;0.2;1.9;1.4;19.1
30;Charles Bassey;C;23;SAS;19;0;10.8;1.5;2.1;0.725;0;0.1;0;1.5;2.1;0.744;0.725;0.3;0.3;0.833;1.2;2.8;4;1.1;0.4;0.9;0.8;1.6;3.3
31;Emoni Bates;SF;20;CLE;7;0;7.4;0.6;2.1;0.267;0.4;1.7;0.25;0.1;0.4;0.333;0.367;0.1;0.3;0.5;0.1;1.1;1.3;0.3;0.1;0.1;0.1;0.3;1.7
32;Keita Bates-Diop;SF;28;PHO;19;8;18.7;2;4.9;0.409;0.5;1.9;0.278;1.5;3;0.491;0.462;1.2;1.7;0.719;1.1;2.3;3.3;0.9;0.6;0.8;0.2;1;5.7
33;Nicolas Batum;PF;35;TOT;15;9;24.6;2.1;3.7;0.571;1.5;3;0.511;0.6;0.7;0.818;0.777;0.5;0.7;0.636;1;2.9;3.9;2;0.6;0.7;0.5;2;6.3
33;Nicolas Batum;PF;35;LAC;3;0;18;1;2.7;0.375;0.7;2.3;0.286;0.3;0.3;1;0.5;0;0;0;0;2.3;2.3;1.7;1;1.3;0.3;1.7;2.7
33;Nicolas Batum;PF;35;PHI;12;9;26.3;2.4;4;0.604;1.8;3.2;0.553;0.7;0.8;0.8;0.823;0.6;0.9;0.636;1.3;3;4.3;2.1;0.5;0.6;0.5;2.1;7.2
34;Bradley Beal;SG;30;PHO;3;3;28.7;6;15.3;0.391;1.7;5;0.333;4.3;10.3;0.419;0.446;3.7;5.3;0.688;1;4.3;5.3;3.7;0.7;0.3;3;3;17.3
35;Malik Beasley;SG;27;MIL;22;22;29.6;4.3;9;0.477;3;6.5;0.455;1.3;2.5;0.537;0.642;0.4;0.5;0.667;0.6;3.8;4.4;1.4;0.9;0.1;0.7;2;11.9
36;MarJon Beauchamp;SF;23;MIL;18;0;16.3;2;4.3;0.468;0.9;2;0.444;1.1;2.3;0.488;0.571;0.5;0.9;0.563;0.7;1.8;2.6;0.9;0.3;0.2;0.6;1.7;5.4
37;Jules Bernard;SG;24;WAS;1;0;4;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
38;D?vis Bert?ns;PF;31;OKC;7;0;8.1;0.9;2.3;0.375;0.9;2.1;0.4;0;0.1;0;0.563;2;2.1;0.933;0;0.7;0.7;0.7;0.3;0.1;0;1.1;4.6
